,Ability,Character_Class,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,matchID,playersID,score
14400,0.0,Hunter,20,0.0,4.125,298,1.0,1.0,7.0,0.8,4.0,5.0,13.0,703466992,2305843009263374484,4.0
14401,0.0,Titan,20,2.0,3.4,304,2.0,2.0,4.0,0.6666666666666666,5.0,3.8,15.0,703466992,2305843009267188449,4.0
14402,0.0,Warlock,20,1.0,4.83333333333,304,1.0,2.0,7.0,1.0,3.0,6.0,11.0,703466992,2305843009278955266,4.0
14403,0.0,Titan,20,1.0,2.1,299,1.0,1.0,7.0,0.6666666666666666,5.0,2.8,7.0,703466992,2305843009291365963,4.0
14404,0.0,Hunter,20,0.0,0.272727272727,301,0.0,0.0,0.0,0.0,11.0,0.272727272727,3.0,703466992,2305843009260681172,0.0
14405,0.0,Warlock,20,0.0,0.269230769231,301,0.0,0.0,3.0,0.0,13.0,0.384615384615,2.0,703466992,2305843009260710091,0.0
14406,0.0,Hunter,20,1.0,0.818181818182,305,0.0,0.0,0.0,0.0,11.0,0.818181818182,9.0,703466992,2305843009268476333,0.0
14407,0.0,Hunter,20,0.0,0.153846153846,289,1.0,0.0,0.0,0.0,13.0,0.153846153846,2.0,703466992,2305843009279045831,0.0
14408,0.0,Hunter,20,0.0,0.428571428571,295,0.0,0.0,4.0,0.5,7.0,0.714285714286,1.0,703246643,2305843009261260376,4.0
14409,0.0,Titan,20,2.0,3.3125,304,2.0,1.0,3.0,0.4444444444444444,8.0,3.5,25.0,703246643,2305843009267188449,4.0
14410,0.0,Warlock,20,0.0,2.44444444444,304,3.0,1.0,8.0,0.4,9.0,2.88888888889,18.0,703246643,2305843009278955266,4.0
14411,0.0,Titan,20,1.0,1.7,299,3.0,0.0,8.0,0.36363636363636365,10.0,2.1,13.0,703246643,2305843009291365963,4.0
14412,0.0,Hunter,20,0.0,0.470588235294,303,2.0,0.0,4.0,0.05555555555555555,17.0,0.588235294118,6.0,703246643,2305843009261228645,1.0
14413,0.0,Warlock,20,0.0,0.444444444444,304,1.0,0.0,2.0,0.05263157894736842,18.0,0.5,7.0,703246643,2305843009262179260,1.0
14414,0.0,Hunter,20,0.0,0.625,304,1.0,0.0,3.0,0.07692307692307693,12.0,0.75,6.0,703246643,2305843009263625058,1.0
14415,0.0,Titan,20,1.0,1.45454545455,298,2.0,2.0,2.0,0.08333333333333333,11.0,1.54545454545,15.0,703246643,2305843009265598046,1.0
14416,0.0,Hunter,20,0.0,1.25,295,0.0,0.0,2.0,0.8,4.0,1.5,4.0,703117370,2305843009261260376,4.0
14417,0.0,Titan,20,1.0,4.375,304,2.0,3.0,3.0,0.8,4.0,4.75,16.0,703117370,2305843009267188449,4.0
14418,0.0,Warlock,20,2.0,4.1,304,4.0,3.0,7.0,0.6666666666666666,5.0,4.8,17.0,703117370,2305843009278955266,4.0
14419,0.0,Titan,20,0.0,3.75,299,2.0,1.0,8.0,0.8,4.0,4.75,11.0,703117370,2305843009291365963,4.0
14420,0.0,Warlock,20,0.0,0.0833333333333,302,0.0,0.0,2.0,0.0,12.0,0.166666666667,0.0,703117370,2305843009265490672,0.0
14421,0.0,Hunter,20,0.0,0.0833333333333,301,0.0,0.0,0.0,0.0,12.0,0.0833333333333,1.0,703117370,2305843009265795689,0.0
14422,0.0,Hunter,20,0.0,0.375,303,0.0,0.0,1.0,0.0,12.0,0.416666666667,4.0,703117370,2305843009266716677,0.0
14423,0.0,Warlock,20,0.0,1.04166666667,304,2.0,1.0,1.0,0.0,12.0,1.08333333333,12.0,703117370,2305843009268506897,0.0
14424,0.0,Hunter,20,0.0,0.535714285714,295,0.0,0.0,5.0,0.26666666666666666,14.0,0.714285714286,5.0,702988112,2305843009261260376,4.0
14425,0.0,Titan,20,1.0,1.67857142857,304,1.0,2.0,9.0,0.26666666666666666,14.0,2.0,19.0,702988112,2305843009267188449,4.0
14426,0.0,Warlock,20,1.0,1.26923076923,304,1.0,2.0,15.0,0.2857142857142857,13.0,1.84615384615,9.0,702988112,2305843009278955266,4.0
14427,0.0,Titan,20,0.0,4.11111111111,299,2.0,2.0,8.0,0.4,9.0,4.55555555556,33.0,702988112,2305843009291365963,4.0
14428,0.0,Hunter,20,0.0,1.625,303,2.0,1.0,6.0,0.17647058823529413,16.0,1.8125,23.0,702988112,2305843009263705793,3.0
14429,0.0,Hunter,20,0.0,0.473684210526,303,0.0,2.0,4.0,0.15,19.0,0.578947368421,7.0,702988112,2305843009266601802,3.0
14430,0.0,Hunter,20,0.0,0.833333333333,295,0.0,1.0,6.0,0.15789473684210525,18.0,1.0,12.0,702988112,2305843009268832732,3.0
14431,0.0,Hunter,20,1.0,0.928571428571,301,2.0,0.0,10.0,0.2,14.0,1.28571428571,8.0,702988112,2305843009277018212,3.0
14432,0.0,Hunter,20,0.0,0.5,295,0.0,0.0,5.0,0.3333333333333333,11.0,0.727272727273,3.0,702774669,2305843009261260376,4.0
14433,0.0,Titan,20,3.0,3.31818181818,304,1.0,4.0,13.0,0.3333333333333333,11.0,3.90909090909,30.0,702774669,2305843009267188449,4.0
14434,0.0,Warlock,20,0.0,1.35714285714,304,1.0,2.0,10.0,0.26666666666666666,14.0,1.71428571429,14.0,702774669,2305843009278955266,4.0
14435,0.0,Titan,20,0.0,2.88888888889,298,3.0,0.0,12.0,0.4,9.0,3.55555555556,20.0,702774669,2305843009291365963,4.0
14436,0.0,Warlock,20,0.0,0.529411764706,277,0.0,1.0,8.0,0.1111111111111111,17.0,0.764705882353,5.0,702774669,2305843009260989494,2.0
14437,0.0,Titan,20,0.0,0.882352941176,303,1.0,3.0,6.0,0.1111111111111111,17.0,1.05882352941,12.0,702774669,2305843009265141501,2.0
14438,0.0,Hunter,20,0.0,0.55,305,0.0,0.0,4.0,0.09523809523809523,20.0,0.65,9.0,702774669,2305843009266568558,2.0
14439,0.0,Hunter,20,2.0,1.34615384615,302,0.0,3.0,1.0,0.14285714285714285,13.0,1.38461538462,17.0,702774669,2305843009268536188,2.0
14440,0.0,Hunter,20,0.0,1.4,295,0.0,0.0,2.0,0.3333333333333333,5.0,1.6,6.0,702553554,2305843009261260376,2.0
