,matchID,playersID,referenceID,uniqueWeaponKills,uniqueWeaponKillsPrecisionKills,uniqueWeaponPrecisionKills
0,1459943405,2305843009266126020,3393130645,9.0,0.4444444444444444,4.0
1,1459943405,2305843009266126020,3691881271,1.0,0.0,0.0
2,1459943405,2305843009283916134,1650442173,3.0,0.3333333333333333,1.0
3,1459943405,2305843009283916134,3906942101,6.0,0.3333333333333333,2.0
4,1459943405,2305843009264211849,3762467078,9.0,0.3333333333333333,3.0
5,1459943405,2305843009260473349,1331482397,6.0,0.5,3.0
6,1459943405,2305843009260473349,3762467076,6.0,0.3333333333333333,2.0
7,1459943405,2305843009270239884,1048266744,3.0,0.0,0.0
8,1459943405,2305843009270239884,3089417788,2.0,0.0,0.0
9,1459943405,2305843009270239884,4190156464,3.0,0.0,0.0
10,1459943405,2305843009318815247,1327432221,3.0,0.3333333333333333,1.0
11,1459943405,2305843009318815247,1331482397,6.0,0.8333333333333334,5.0
12,1459943405,2305843009265606964,925326393,1.0,0.0,0.0
13,1459943405,2305843009265606964,1644162710,5.0,0.2,1.0
14,1459943405,2305843009264488479,3434629515,1.0,1.0,1.0
15,1459943405,2305843009264488479,1644162710,1.0,1.0,1.0
16,1459943405,2305843009264488479,3899270607,2.0,0.0,0.0
17,986171745,2305843009299644097,1331482397,3.0,1.0,3.0
18,986171745,2305843009299644097,1911843791,2.0,0.5,1.0
19,986171745,2305843009299644097,1339362514,7.0,0.14285714285714285,1.0
20,986171745,2305843009301451364,1195725817,10.0,0.7,7.0
21,986171745,2305843009301451364,3762467076,5.0,0.6,3.0
22,986171745,2305843009293748347,1195725817,11.0,0.45454545454545453,5.0
23,986171745,2305843009293748347,3445437901,5.0,0.0,0.0
24,986171745,2305843009293748347,3762467076,2.0,0.5,1.0
25,986171745,2305843009266862468,3762467076,4.0,0.25,1.0
26,986171745,2305843009291907637,408440598,6.0,0.3333333333333333,2.0
27,986171745,2305843009291907637,4145119417,1.0,1.0,1.0
28,986171745,2305843009291907637,1180270692,3.0,0.0,0.0
29,986171745,2305843009268791523,3889907763,11.0,0.2727272727272727,3.0
30,986171745,2305843009268791523,1331482397,5.0,0.6,3.0
31,986171745,2305843009268436695,1331482397,4.0,0.5,2.0
32,986171745,2305843009268436695,2145476623,2.0,0.5,1.0
33,986171745,2305843009268436695,3762467076,3.0,0.3333333333333333,1.0
34,986171745,2305843009268436695,174804902,2.0,0.5,1.0
35,986171745,2305843009278397831,3748713778,1.0,0.0,0.0
36,986102363,2305843009293748347,3762467076,2.0,0.5,1.0
37,986102363,2305843009293748347,3445437901,5.0,0.0,0.0
38,986102363,2305843009293748347,1195725817,7.0,0.5714285714285714,4.0
39,986102363,2305843009268436695,1331482397,6.0,0.8333333333333334,5.0
40,986102363,2305843009268436695,2145476623,4.0,0.5,2.0
41,986102363,2305843009268436695,174804902,2.0,1.0,2.0
42,986102363,2305843009268025016,3762467076,10.0,0.2,2.0
43,986102363,2305843009268791523,3889907763,5.0,0.2,1.0
