,matchID,mode,standing,team_id,teamscore
0,1459943405,43,0.0,16.0,91.0
1,1459943405,43,1.0,17.0,70.0
2,1459943405,43,0.0,16.0,91.0
3,1459943405,43,1.0,17.0,70.0
4,1459943405,43,0.0,16.0,91.0
5,1459943405,43,0.0,16.0,91.0
6,1459943405,43,1.0,17.0,70.0
7,1459943405,43,1.0,17.0,70.0
8,986171745,10,0.0,17.0,88.0
9,986171745,10,1.0,16.0,87.0
10,986171745,10,1.0,16.0,87.0
11,986171745,10,0.0,17.0,88.0
12,986171745,10,0.0,17.0,88.0
13,986171745,10,1.0,16.0,87.0
14,986171745,10,1.0,16.0,87.0
15,986171745,10,0.0,17.0,88.0
16,986102363,12,0.0,17.0,50.0
17,986102363,12,0.0,17.0,50.0
18,986102363,12,1.0,16.0,26.0
19,986102363,12,0.0,17.0,50.0
20,986102363,12,1.0,16.0,26.0
21,986102363,12,0.0,17.0,50.0
22,986102363,12,1.0,16.0,26.0
23,986102363,12,1.0,16.0,26.0
24,985946587,10,0.0,16.0,90.0
25,985946587,10,0.0,16.0,90.0
26,985946587,10,0.0,16.0,90.0
27,985946587,10,1.0,17.0,53.0
28,985946587,10,0.0,16.0,90.0
29,985946587,10,1.0,17.0,53.0
30,985946587,10,1.0,17.0,53.0
31,985946587,10,1.0,17.0,53.0
32,985614279,10,0.0,16.0,90.0
33,985614279,10,0.0,16.0,90.0
34,985614279,10,0.0,16.0,90.0
35,985614279,10,1.0,17.0,60.0
36,985614279,10,1.0,17.0,60.0
37,985614279,10,1.0,17.0,60.0
38,985614279,10,1.0,17.0,60.0
39,985614279,10,0.0,16.0,90.0
40,1241027238,31,0.0,16.0,70.0
41,1241027238,31,0.0,16.0,70.0
42,1241027238,31,0.0,16.0,70.0
43,1241027238,31,1.0,17.0,41.0
44,1241027238,31,0.0,16.0,70.0
45,1241027238,31,1.0,17.0,41.0
46,1241027238,31,1.0,17.0,41.0
47,1241027238,31,1.0,17.0,41.0
48,712854471,37,0.0,16.0,4.0
49,712854471,37,0.0,16.0,4.0
50,712854471,37,0.0,16.0,4.0
51,712854471,37,0.0,16.0,4.0
52,712854471,37,1.0,17.0,0.0
53,712854471,37,1.0,17.0,0.0
54,712854471,37,1.0,17.0,0.0
55,712854471,37,1.0,17.0,0.0
56,644918367,12,1.0,17.0,34.0
57,644918367,12,0.0,16.0,36.0
58,644918367,12,0.0,16.0,36.0
59,644918367,12,1.0,17.0,34.0
60,644918367,12,0.0,16.0,36.0
61,644918367,12,0.0,16.0,36.0
62,644918367,12,1.0,17.0,34.0
63,644918367,12,1.0,17.0,34.0
64,600201491,38,0.0,16.0,6.0
65,600201491,38,0.0,16.0,6.0
66,600201491,38,0.0,16.0,6.0
67,600201491,38,0.0,16.0,6.0
68,600201491,38,0.0,-1.0,0.0
69,600201491,38,0.0,-1.0,0.0
70,600201491,38,0.0,-1.0,0.0
71,600201491,38,1.0,17.0,0.0
72,767057590,43,1.0,16.0,64.0
73,767057590,43,0.0,17.0,76.0
74,767057590,43,0.0,17.0,76.0
75,767057590,43,0.0,17.0,76.0
76,767057590,43,1.0,16.0,64.0
77,767057590,43,1.0,16.0,64.0
78,767057590,43,1.0,16.0,64.0
79,767057590,43,0.0,17.0,76.0
80,720817072,43,0.0,16.0,70.0
81,720817072,43,0.0,16.0,70.0
82,720817072,43,1.0,17.0,69.0
83,720817072,43,1.0,17.0,69.0
84,720817072,43,1.0,17.0,69.0
85,720817072,43,0.0,16.0,70.0
86,720817072,43,1.0,17.0,69.0
87,720817072,43,0.0,16.0,70.0
88,713091658,42,0.0,16.0,4.0
89,713091658,42,0.0,16.0,4.0
90,713091658,42,0.0,16.0,4.0
91,713091658,42,1.0,17.0,0.0
92,713091658,42,1.0,17.0,0.0
93,713091658,42,1.0,17.0,0.0
94,713091658,42,0.0,16.0,4.0
95,713091658,42,1.0,17.0,0.0
96,712980938,42,0.0,17.0,4.0
97,712980938,42,0.0,17.0,4.0
98,712980938,42,0.0,17.0,4.0
99,712980938,42,0.0,17.0,4.0
100,712980938,42,1.0,16.0,1.0
101,712980938,42,1.0,16.0,1.0
102,712980938,42,1.0,16.0,1.0
103,712980938,42,1.0,16.0,1.0
104,641281804,10,0.0,17.0,100.0
105,641281804,10,0.0,17.0,100.0
106,641281804,10,0.0,17.0,100.0
107,641281804,10,0.0,17.0,100.0
108,641281804,10,1.0,16.0,46.0
109,641281804,10,1.0,16.0,46.0
110,641281804,10,1.0,16.0,46.0
111,641281804,10,1.0,16.0,46.0
112,648659994,38,0.0,16.0,6.0
113,648659994,38,0.0,16.0,6.0
114,648659994,38,0.0,16.0,6.0
115,648659994,38,0.0,16.0,6.0
116,648659994,38,1.0,17.0,2.0
117,648659994,38,1.0,17.0,2.0
118,648659994,38,0.0,-1.0,0.0
119,648659994,38,0.0,-1.0,0.0
120,1367930457,38,0.0,16.0,6.0
121,1367930457,38,0.0,16.0,6.0
122,1367930457,38,0.0,16.0,6.0
123,1367930457,38,0.0,16.0,6.0
124,1367930457,38,1.0,17.0,2.0
125,1367930457,38,1.0,17.0,2.0
126,1367930457,38,1.0,17.0,2.0
127,1367930457,38,1.0,17.0,2.0
128,1340260370,42,0.0,16.0,4.0
129,1340260370,42,0.0,16.0,4.0
130,1340260370,42,0.0,16.0,4.0
131,1340260370,42,0.0,16.0,4.0
132,1340260370,42,1.0,17.0,0.0
133,1340260370,42,1.0,17.0,0.0
134,1340260370,42,1.0,17.0,0.0
135,1340260370,42,1.0,17.0,0.0
136,1340218021,42,0.0,16.0,4.0
137,1340218021,42,0.0,16.0,4.0
138,1340218021,42,0.0,16.0,4.0
139,1340218021,42,0.0,16.0,4.0
140,1340218021,42,1.0,17.0,0.0
141,1340218021,42,1.0,17.0,0.0
142,1340218021,42,1.0,17.0,0.0
143,1340218021,42,1.0,17.0,0.0
144,1339800076,0,NA,NA,125.0
145,1339800076,0,NA,NA,107.0
146,1339800076,0,NA,NA,125.0
147,1339800076,0,NA,NA,107.0
148,1339800076,0,NA,NA,125.0
149,1339800076,0,NA,NA,107.0
150,1339800076,0,NA,NA,125.0
151,1339800076,0,NA,NA,107.0
152,1339759652,0,NA,NA,123.0
153,1339759652,0,NA,NA,123.0
154,1339759652,0,NA,NA,45.0
155,1339759652,0,NA,NA,123.0
156,1339759652,0,NA,NA,45.0
157,1339759652,0,NA,NA,123.0
158,1339759652,0,NA,NA,45.0
159,1339759652,0,NA,NA,45.0
160,966695420,42,0.0,17.0,4.0
161,966695420,42,0.0,17.0,4.0
162,966695420,42,0.0,17.0,4.0
163,966695420,42,0.0,17.0,4.0
164,966695420,42,1.0,16.0,0.0
165,966695420,42,1.0,16.0,0.0
