,playersID,Ability,Character_Level,Grenade,KDA,Lightlevel,Melee,Super,assists,avg_score_per_life,deaths,efficiency,kills,score,Auto Rifle,Fusion Rifle,Grenade Launcher,Hand Cannon,Linear Fusion Rifle,Pulse Rifle,Rocket Launcher,Scout Rifle,Shotgun,Sidearm,Sniper Rifle,Submachine Gun,Sword,Trace Rifle
3521,2305843009270334860,0.0,20.0,0.20000000000000004,1.1078907203904005,292.80000000000007,0.20000000000000004,0.5999999999999999,3.6,0.5676190476190477,8.599999999999998,1.3294261294275995,7.2,6.200000000000002,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.076923076923077,0.0,0.0,0.0,2.625,0.0,0.0
3522,2305843009270336405,0.0,20.0,1.0,2.0,294.0,0.0,0.0,6.0,0.4444444444444444,8.0,2.375,13.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3523,2305843009270342661,0.0,25.0,0.0,0.318181818182,332.0,0.0,0.0,5.0,0.0,11.0,0.545454545455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3524,2305843009270346664,0.0,25.0,1.0,0.75,321.0,0.0,0.0,2.0,0.3333333333333333,8.0,0.875,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3525,2305843009270347105,0.0,20.0,0.0,0.8,298.0,1.0,0.0,0.0,0.0,5.0,0.8,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3526,2305843009270349826,0.0,20.0,0.6666666666666664,0.3767857142856668,304.0,0.0,0.0,1.0,0.0833333333333333,6.666666666666667,0.45476190476199996,2.0,0.6666666666666664,49.166666666666664,2.5,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
3528,2305843009270366464,0.0,25.0,0.0,0.46153846153800004,327.0,0.0,1.0,4.0,0.07142857142857142,13.0,0.615384615385,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
3529,2305843009270369503,0.0,20.0,0.3333333333333332,1.7546296296296668,302.3333333333332,0.3333333333333332,0.0,3.0,0.4000000000000002,6.333333333333333,2.0925925925923328,6.333333333333333,2.6666666666666656,5.125,10.0,0.0,142.0,0.0,8.666666666666666,2.0,1.875,0.0,0.0,0.0,0.0,0.0,1.5
3530,2305843009270370039,0.0,20.0,0.5,0.8791666666665001,301.0,0.0,1.5,2.5,0.7620192307692308,13.5,0.9749999999985002,10.5,10.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3531,2305843009270370126,0.0,20.0,1.0,1.0,301.0,1.0,2.0,2.0,0.0,12.0,1.08333333333,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3532,2305843009270374412,0.0,25.0,0.0,0.166666666667,335.0,0.0,0.0,0.0,0.0,6.0,0.166666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3533,2305843009270376290,0.0,20.0,0.5,1.708333333335,303.0,1.0,2.5,3.5,0.3547008547008547,10.0,1.875,16.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0
3535,2305843009270381946,0.0,25.0,0.5714285714285717,3.384836591979855,310.1428571428573,1.1428571428571435,1.0,5.428571428571429,0.5670068027210887,9.285714285714288,4.071071785358576,8.85714285714285,2.4285714285714275,5.166666666666666,2.0,1.0,1.875,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3536,2305843009270381947,0.0,20.0,0.75,0.5997023809525003,293.25,0.5,0.0,2.25,0.6105769230769232,7.75,0.7529761904769999,3.5,5.5,3.5,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3537,2305843009270389559,0.0,20.0,0.0,0.10416666666649999,302.0,0.0,0.0,0.5,0.0,7.5,0.125,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3538,2305843009270391555,0.0,20.0,0.0,0.25,304.0,0.0,0.0,1.0,0.0,10.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3540,2305843009270413207,0.0,20.0,0.0,0.5714285714289999,284.0,0.0,0.0,2.0,0.25,7.0,0.714285714286,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3541,2305843009270416973,0.0,25.0,0.0,0.964285714286,331.0,0.0,1.0,1.0,0.06666666666666668,14.0,1.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
3542,2305843009270417733,0.0,20.0,0.25,0.9513888888887502,304.0,0.0,0.75,2.25,0.5805555555555556,7.5,1.1319444444445,5.25,4.25,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
